,Room,Photo,path,kind
102,Zaal_G,20190323_120427,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_G/20190323_120427.jpg,TP
103,Zaal_G,20190323_120448,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_G/20190323_120448.jpg,TP
104,Zaal_G,20190323_120503,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_G/20190323_120503.jpg,TP
105,Zaal_G,20190323_120524,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_G/20190323_120524.jpg,TP
106,Zaal_H,20190323_120614,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_H/20190323_120614.jpg,FN
107,Zaal_H,20190323_120646,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_H/20190323_120646.jpg,TP
108,Zaal_H,20190323_120721,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_H/20190323_120721.jpg,TP
109,Zaal_H,20190323_120750,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_H/20190323_120750.jpg,TP
110,Zaal_H,20190323_120815,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_H/20190323_120815.jpg,FN
111,Zaal_I,20190323_121107,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_I/20190323_121107.jpg,TP
112,Zaal_I,20190323_121131,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_I/20190323_121131.jpg,TP
